_seed1_s4-12-1_a4-2
2021-10-05_17-09-13	0	to save:  19, pool size = 100, survivor count = 20, games per cycle = 20, mutation rate = 0.5, mutation degree = 0.25
2021-10-05_17-09-47	1	duration:34.13467	[10,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0]
2021-10-05_17-10-15	2	duration:27.733466	[8,8,7,6,4,3,2,2,2,2,2,2,1,1,0,0,0,0,0,0]
2021-10-05_17-10-48	3	duration:32.776205	[11,10,10,8,8,7,6,6,6,5,5,4,3,3,3,2,2,2,2,1]
2021-10-05_17-11-23	4	duration:35.605785	[12,11,10,10,10,10,9,9,9,8,8,8,8,8,7,6,5,5,5,4]
2021-10-05_17-12-06	5	duration:42.388544	[15,11,11,11,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8]
2021-10-05_17-12-32	6	duration:26.304353	[14,12,11,10,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8]
2021-10-05_17-13-00	7	duration:28.366009	[12,12,11,11,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8]
2021-10-05_17-13-25	8	duration:24.573573	[13,13,12,11,11,11,11,11,10,10,10,9,9,9,9,9,9,9,8,8]
2021-10-05_17-13-53	9	duration:28.503231	[12,12,12,11,10,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8]
2021-10-05_17-14-17	10	duration:23.391655	[13,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9]
2021-10-05_17-14-43	11	duration:26.098168	[13,13,12,11,11,11,11,11,10,10,9,9,9,9,9,9,9,8,8,8]
2021-10-05_17-15-05	12	duration:22.130102	[12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,9,9,9,9]
2021-10-05_17-15-34	13	duration:28.757876	[12,12,12,12,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9]
2021-10-05_17-16-12	14	duration:38.274461	[13,13,13,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10]
2021-10-05_17-16-30	15	duration:18.27088	[14,13,12,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9]
2021-10-05_17-16-51	16	duration:21.001354	[14,14,12,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,9,9]
2021-10-05_17-17-09	17	duration:17.386002	[13,13,13,12,12,12,11,11,11,11,11,11,11,10,10,10,9,9,9,9]
2021-10-05_17-17-26	18	duration:16.997356	[14,13,13,13,12,12,11,11,11,11,10,10,10,10,10,9,9,9,9,9]
2021-10-05_17-17-45	19	duration:19.110264	[15,14,13,13,13,12,12,11,11,11,11,11,11,11,10,10,10,10,10,9]
2021-10-05_17-18-03	20	duration:17.768807	[16,15,15,14,13,13,12,12,12,11,11,11,11,11,10,10,10,10,10,10]
2021-10-05_17-18-20	21	duration:17.894417	[15,14,12,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,9]
2021-10-05_17-18-38	22	duration:17.427828	[14,14,14,14,14,13,13,12,12,12,11,11,11,11,11,10,10,10,10,10]
2021-10-05_17-18-59	23	duration:20.947996	[15,14,14,14,14,13,13,12,12,11,11,10,10,10,10,10,10,9,9,9]
2021-10-05_17-19-16	24	duration:17.484489	[16,15,14,13,12,12,12,11,11,11,11,11,11,10,10,10,10,10,9,9]
2021-10-05_17-19-36	25	duration:19.322819	[15,15,15,13,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,10]
2021-10-05_17-19-53	26	duration:17.315563	[14,14,14,13,13,13,12,12,12,12,11,11,11,10,10,10,10,10,10,10]
2021-10-05_17-20-12	27	duration:19.332008	[14,13,13,13,12,12,12,12,12,12,12,10,10,10,9,9,9,9,9,9]
2021-10-05_17-20-31	28	duration:18.781939	[13,13,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,9,9,9]
2021-10-05_17-20-50	29	duration:18.434842	[17,15,15,14,13,13,13,13,13,11,11,11,10,10,10,10,10,10,10,10]
2021-10-05_17-21-08	30	duration:18.176078	[14,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10]
2021-10-05_17-21-25	31	duration:17.661862	[16,14,14,14,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,11]
2021-10-05_17-21-43	32	duration:17.267369	[16,15,15,13,12,12,12,11,10,10,10,10,10,9,9,9,9,9,9,9]
2021-10-05_17-22-02	33	duration:19.305622	[16,15,15,14,13,12,12,12,12,12,12,11,11,11,11,10,10,10,10,9]
2021-10-05_17-22-22	34	duration:20.41376	[14,14,13,13,13,13,12,12,12,12,12,12,11,11,11,11,11,11,11,10]
2021-10-05_17-22-41	35	duration:19.072333	[14,14,13,13,12,12,12,12,11,11,11,11,11,10,10,10,10,9,9,9]
2021-10-05_17-23-01	36	duration:19.565034	[14,14,13,13,13,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10]
2021-10-05_17-23-20	37	duration:19.17753	[16,16,16,15,13,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10]
2021-10-05_17-23-39	38	duration:18.60121	[15,14,14,13,13,13,13,13,12,12,12,12,12,11,11,11,10,10,10,10]
2021-10-05_17-24-00	39	duration:21.175018	[14,13,13,13,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,10]
2021-10-05_17-24-22	40	duration:22.244712	[14,14,14,14,14,14,13,13,13,13,12,12,12,12,11,11,11,11,11,10]
