_seed2_s4-24-1_a3-2_lr0.200000
2021-10-04_13-03-40	0	data thinner = 0, games per cycle = 100
2021-10-04_13-03-42	1	duration:2.269255	[0]
2021-10-04_13-03-45	2	duration:2.403145	[0]
2021-10-04_13-03-49	3	duration:3.813486	[0]
2021-10-04_13-03-53	4	duration:4.224425	[0]
2021-10-04_13-04-01	5	duration:8.269781	[2]
2021-10-04_13-04-11	6	duration:9.753902	[0]
2021-10-04_13-04-24	7	duration:13.550648	[28]
2021-10-04_13-04-36	8	duration:11.626491	[4]
2021-10-04_13-04-50	9	duration:13.585453	[16]
2021-10-04_13-05-01	10	duration:11.477424	[24]
2021-10-04_13-05-12	11	duration:11.20096	[7]
2021-10-04_13-05-23	12	duration:10.552988	[5]
2021-10-04_13-05-34	13	duration:11.106894	[32]
2021-10-04_13-05-46	14	duration:12.41329	[32]
2021-10-04_13-05-59	15	duration:12.655722	[15]
2021-10-04_13-06-09	16	duration:9.72995	[1]
2021-10-04_13-06-20	17	duration:11.001964	[11]
2021-10-04_13-06-30	18	duration:10.811206	[0]
2021-10-04_13-06-44	19	duration:13.758699	[70]
2021-10-04_13-06-58	20	duration:13.66403	[67]
2021-10-04_13-07-11	21	duration:13.217879	[70]
2021-10-04_13-07-26	22	duration:14.491991	[66]
2021-10-04_13-07-43	23	duration:17.02094	[57]
2021-10-04_13-08-01	24	duration:18.298951	[74]
2021-10-04_13-08-17	25	duration:15.832072	[65]
2021-10-04_13-08-31	26	duration:14.26278	[59]
2021-10-04_13-08-45	27	duration:13.686039	[66]
2021-10-04_13-09-01	28	duration:15.895959	[59]
2021-10-04_13-09-15	29	duration:14.553937	[67]
2021-10-04_13-09-32	30	duration:16.412968	[69]
2021-10-04_13-09-48	31	duration:16.01298	[71]
2021-10-04_13-10-01	32	duration:13.827913	[66]
2021-10-04_13-10-16	33	duration:14.968014	[59]
2021-10-04_13-10-30	34	duration:13.748908	[62]
2021-10-04_13-10-44	35	duration:13.751934	[65]
2021-10-04_13-10-58	36	duration:13.709999	[66]
2021-10-04_13-11-13	37	duration:15.273988	[66]
2021-10-04_13-11-27	38	duration:13.91395	[59]
2021-10-04_13-11-41	39	duration:14.525079	[72]
2021-10-04_13-11-56	40	duration:15.189417	[63]
2021-10-04_13-12-12	41	duration:15.582605	[61]
2021-10-04_13-12-25	42	duration:13.077746	[55]
2021-10-04_13-12-40	43	duration:15.04793	[70]
2021-10-04_13-13-00	44	duration:20.28698	[72]
2021-10-04_13-13-21	45	duration:20.028924	[65]
2021-10-04_13-13-40	46	duration:19.535011	[61]
2021-10-04_13-13-55	47	duration:15.12697	[74]
2021-10-04_13-14-08	48	duration:13.154017	[63]
2021-10-04_13-14-22	49	duration:13.968922	[60]
2021-10-04_13-14-38	50	duration:15.916938	[64]
2021-10-04_13-14-53	51	duration:15.247995	[62]
2021-10-04_13-15-08	52	duration:14.358033	[64]
2021-10-04_13-15-23	53	duration:15.156886	[63]
2021-10-04_13-15-37	54	duration:14.477905	[69]
2021-10-04_13-15-53	55	duration:15.490987	[71]
2021-10-04_13-16-10	56	duration:16.932997	[69]
2021-10-04_13-16-23	57	duration:13.076847	[64]
2021-10-04_13-16-41	58	duration:17.754136	[61]
2021-10-04_13-16-56	59	duration:15.57742	[70]
2021-10-04_13-17-11	60	duration:14.499391	[67]
2021-10-04_13-17-27	61	duration:16.327976	[64]
2021-10-04_13-17-42	62	duration:14.803962	[67]
2021-10-04_13-17-57	63	duration:14.940937	[60]
2021-10-04_13-18-13	64	duration:15.892937	[70]
2021-10-04_13-18-27	65	duration:14.629978	[61]
2021-10-04_13-18-46	66	duration:18.402063	[66]
2021-10-04_13-19-05	67	duration:19.054053	[64]
2021-10-04_13-19-22	68	duration:16.969774	[59]
2021-10-04_13-19-37	69	duration:15.22901	[66]
2021-10-04_13-19-54	70	duration:16.467895	[69]
2021-10-04_13-20-10	71	duration:16.89798	[66]
2021-10-04_13-20-27	72	duration:16.560975	[69]
2021-10-04_13-20-45	73	duration:18.309947	[79]
2021-10-04_13-21-03	74	duration:17.703947	[66]
2021-10-04_13-21-20	75	duration:17.470975	[69]
2021-10-04_13-21-37	76	duration:16.151956	[58]
2021-10-04_13-21-52	77	duration:15.686066	[66]
2021-10-04_13-22-08	78	duration:16.124836	[70]
2021-10-04_13-22-24	79	duration:15.58291	[75]
2021-10-04_13-22-40	80	duration:15.719009	[65]
2021-10-04_13-22-56	81	duration:16.013914	[70]
2021-10-04_13-23-11	82	duration:15.486992	[61]
2021-10-04_13-23-26	83	duration:14.894002	[66]
2021-10-04_13-23-42	84	duration:15.785913	[61]
2021-10-04_13-23-57	85	duration:15.057992	[69]
2021-10-04_13-24-13	86	duration:15.578966	[66]
2021-10-04_13-24-33	87	duration:20.58595	[79]
2021-10-04_13-24-49	88	duration:15.478938	[66]
2021-10-04_13-25-03	89	duration:14.733982	[72]
2021-10-04_13-25-20	90	duration:16.541026	[70]
2021-10-04_13-25-35	91	duration:14.760848	[63]
2021-10-04_13-25-49	92	duration:14.204995	[66]
2021-10-04_13-26-05	93	duration:16.543936	[71]
2021-10-04_13-26-20	94	duration:14.928902	[69]
2021-10-04_13-26-37	95	duration:16.33909	[73]
2021-10-04_13-26-53	96	duration:16.060976	[63]
2021-10-04_13-27-08	97	duration:15.336852	[65]
2021-10-04_13-27-25	98	duration:16.503943	[74]
2021-10-04_13-27-42	99	duration:17.850069	[75]
2021-10-04_13-27-57	100	duration:14.249899	[66]
2021-10-04_13-28-12	101	duration:14.903992	[72]
2021-10-04_13-28-27	102	duration:15.670928	[55]
2021-10-04_13-28-42	103	duration:14.510975	[77]
2021-10-04_13-28-57	104	duration:14.966956	[70]
2021-10-04_13-29-13	105	duration:15.804971	[63]
2021-10-04_13-29-29	106	duration:16.035934	[67]
2021-10-04_13-29-43	107	duration:14.576992	[67]
2021-10-04_13-30-02	108	duration:18.967932	[66]
2021-10-04_13-30-22	109	duration:19.653934	[64]
2021-10-04_13-30-37	110	duration:15.002939	[67]
2021-10-04_13-30-52	111	duration:15.159988	[76]
2021-10-04_13-31-07	112	duration:15.432949	[64]
2021-10-04_13-31-23	113	duration:15.196936	[76]
2021-10-04_13-31-38	114	duration:15.437999	[60]
2021-10-04_13-31-53	115	duration:14.825898	[65]
2021-10-04_13-32-08	116	duration:15.667966	[60]
2021-10-04_13-32-26	117	duration:17.391034	[66]
2021-10-04_13-32-43	118	duration:16.904882	[68]
2021-10-04_13-33-01	119	duration:18.444008	[69]
2021-10-04_13-33-20	120	duration:18.315989	[59]
