_seed1_s4-12-1_a4-2_lr0.200000
2021-10-10_16-28-33	0	data thinner = 1, games per cycle = 100, handicapped
2021-10-10_16-28-34	1	duration: 0.89119	[0]
2021-10-10_16-28-35	2	duration: 1.193376	[0]
2021-10-10_16-28-36	3	duration: 1.001897	[0]
2021-10-10_16-28-37	4	duration: 1.150678	[25]
2021-10-10_16-28-42	5	duration: 4.716884	[28]
2021-10-10_16-28-44	6	duration: 1.827664	[21]
2021-10-10_16-28-46	7	duration: 1.871745	[20]
2021-10-10_16-28-48	8	duration: 1.990928	[14]
2021-10-10_16-28-49	9	duration: 1.588013	[0]
2021-10-10_16-28-51	10	duration: 1.184736	[0]
2021-10-10_16-28-52	11	duration: 1.105186	[0]
2021-10-10_16-28-53	12	duration: 1.438123	[0]
2021-10-10_16-28-54	13	duration: 1.338627	[0]
2021-10-10_16-28-56	14	duration: 1.610522	[0]
2021-10-10_16-28-58	15	duration: 1.529542	[0]
2021-10-10_16-28-59	16	duration: 1.151461	[0]
2021-10-10_16-29-00	17	duration: 1.36243	[0]
2021-10-10_16-29-02	18	duration: 1.556439	[9]
2021-10-10_16-29-03	19	duration: 1.313811	[15]
2021-10-10_16-29-04	20	duration: 1.261805	[0]
2021-10-10_16-29-05	21	duration: 1.061361	[0]
2021-10-10_16-29-06	22	duration: 1.134963	[0]
2021-10-10_16-29-08	23	duration: 1.548849	[0]
2021-10-10_16-29-09	24	duration: 1.072264	[0]
2021-10-10_16-29-10	25	duration: 1.163357	[0]
2021-10-10_16-29-11	26	duration: 1.205873	[0]
2021-10-10_16-29-13	27	duration: 1.383424	[16]
2021-10-10_16-29-14	28	duration: 1.275974	[8]
2021-10-10_16-29-16	29	duration: 2.128168	[62]
2021-10-10_16-29-18	30	duration: 1.696148	[22]
2021-10-10_16-29-20	31	duration: 1.716608	[25]
2021-10-10_16-29-21	32	duration: 1.453174	[25]
2021-10-10_16-29-23	33	duration: 2.189717	[99]
